Time(s),smooth_qw,smooth_qx,smooth_qy,smooth_qz,ax,ay,az,gx,gy,gz,mx,my,mz,lx,ly,lz
1.896956,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3867,-2.5273,-0.625,-0.0293,0.0098,0.0195,23.25,-21.3125,-16.4375,0.0312,-0.1172,-0.0156
1.899387,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3945,-2.375,-0.5977,-0.0293,0.0098,0.0195,24.0,-20.5625,-17.25,0.0312,-0.1172,-0.0156
1.908940,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3945,-2.375,-0.5977,-0.0293,0.0098,0.0195,24.0,-20.5625,-17.25,0.0391,0.0234,-0.0195
1.919645,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3555,-2.3086,-0.6445,-0.0293,0.0098,0.0195,24.0,-20.5625,-17.25,0.0391,0.0234,-0.0195
1.930035,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3125,-2.3164,-0.6055,-0.0293,0.0098,0.0195,24.0,-20.5625,-17.25,0.0391,0.0234,-0.0195
1.940470,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3164,-2.3477,-0.5586,-0.0293,0.0098,0.0195,24.0,-20.5625,-17.25,0.1055,0.043,0.0195
1.963782,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3516,-2.3555,-0.5586,-0.0293,0.0098,0.0195,22.5625,-19.875,-15.0625,0.1055,0.043,0.0195
1.966383,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3438,-2.3281,-0.4531,-0.0293,0.0098,0.0195,22.5625,-19.875,-15.0625,0.1055,0.043,0.0195
1.999146,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3203,-2.2969,-0.5078,-0.0293,0.0098,0.0195,23.5625,-21.3125,-16.4375,0.1055,0.043,0.0195
2.011099,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3203,-2.2969,-0.5078,-0.0293,0.0098,0.0195,23.5625,-21.3125,-16.4375,0.0898,0.0859,0.0625
2.020012,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.2227,-2.2695,-0.5078,-0.0293,0.0098,0.0195,23.5625,-21.3125,-16.4375,0.0898,0.0859,0.0625
2.025309,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.2227,-2.2695,-0.5078,-0.0293,0.0098,0.0195,23.25,-20.25,-17.25,0.0898,0.0859,0.0625
2.030568,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.2227,-2.2969,-0.4805,-0.0293,0.0098,0.0195,23.25,-20.25,-17.25,0.0898,0.0859,0.0625
2.032893,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.2578,-2.3672,-0.4609,-0.0293,0.0098,0.0195,23.25,-20.9375,-16.875,0.0898,0.0859,0.0625
2.043304,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3398,-2.3672,-0.4414,-0.0293,0.0098,0.0195,23.1875,-23.375,-16.0,0.0898,0.0859,0.0625
2.073243,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4492,-2.2617,-0.4414,-0.0293,0.0098,0.0195,23.1875,-23.375,-16.0,0.0352,0.0391,0.1289
2.075312,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4883,-2.2109,-0.4727,-0.0293,0.0098,0.0195,23.1875,-23.375,-16.0,0.0352,0.0391,0.1289
2.103880,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.4492,-2.1836,-0.4609,-0.0293,0.0098,0.0195,23.1875,-23.375,-16.0,0.0352,0.0391,0.1289
2.110399,0.10369707819730517,0.6642438233042058,0.28862526498101526,-0.681705593045995,-9.3672,-2.1562,-0.4336,-0.0293,0.0098,0.0195,23.1875,-23.375,-16.0,0.0352,0.0391,0.1289
2.115879,0.10657873344731024,0.6644155308131572,0.28978980281328454,-0.6805988878748447,-9.3633,-2.2422,-0.4609,-0.0703,-0.0195,-0.002,23.1875,-23.375,-16.0,0.0352,0.0391,0.1289
2.117989,0.10859520163327752,0.6645314114187317,0.290603098048348,-0.6798197737818151,-9.3906,-2.3086,-0.4805,-0.0703,-0.0195,-0.002,21.8125,-21.625,-16.875,0.0352,0.0391,0.1289
2.125512,0.11000638046077034,0.6646104130633748,0.2911714786437209,-0.679272231973367,-9.5508,-2.1445,-0.3945,-0.0703,-0.0195,-0.002,21.8125,-21.625,-16.875,-0.0742,0.0938,0.1172
2.140727,0.11144590999862312,0.6644958970585911,0.2919638171649972,-0.6788093557128696,-9.6602,-2.0859,-0.3477,-0.0703,-0.0195,-0.002,21.8125,-21.625,-16.875,-0.0742,0.0938,0.1172
2.149149,0.11284415680293972,0.6643290188034512,0.2927599121416161,-0.6783986916953118,-9.7852,-2.0508,-0.2109,-0.0703,-0.0195,-0.002,21.8125,-21.625,-16.875,-0.0742,0.0938,0.1172
2.172310,0.11406249340733443,0.6641495342239709,0.2934360125688927,-0.6780784986382129,-10.0039,-2.0586,-0.0586,-0.0703,-0.0195,-0.002,21.8125,-21.625,-16.875,-0.0742,0.0938,0.1172
2.180650,0.11524497479560171,0.6639317566486962,0.29405834575416584,-0.677822179918938,-10.0195,-1.9922,0.0469,-0.0703,-0.0195,-0.002,22.4375,-22.375,-16.0,-0.0742,0.0938,0.1172
2.192227,0.11607258946632032,0.6637785608257016,0.29449365093129654,-0.6776419893453319,-10.0195,-1.8594,0.1406,-0.0703,-0.0195,-0.002,23.25,-19.5,-16.875,-0.0742,0.0938,0.1172
2.213803,0.11665186068543906,0.6636709553318088,0.29479820426731523,-0.6775154796817232,-10.0352,-1.8477,0.1133,-0.0703,-0.0195,-0.002,22.875,-20.625,-17.75,-0.0742,0.0938,0.1172
2.216606,0.11705732242914438,0.6635954508031872,0.2950113134934963,-0.6774267383635489,-10.3398,-1.6094,0.1797,-0.0703,-0.0195,-0.002,22.875,-20.625,-17.75,-0.0742,0.0938,0.1172
2.221949,0.1173411325259029,0.6635425089751478,0.29516045201918206,-0.6773645288648767,-10.4531,-1.5508,0.1016,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-0.0742,0.0938,0.1172
2.229723,0.11753979364273798,0.6635054061624556,0.29526483065189824,-0.6773209377272514,-10.4961,-1.5781,0.0547,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-1.0,0.6602,0.5
2.238447,0.1176788538529638,0.6634794127974938,0.29533788689127133,-0.6772904020553845,-10.5078,-1.5312,-0.0312,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-1.0312,0.6094,0.4141
2.254425,0.12159041555510855,0.66153397762987,0.2959092192943257,-0.6782523875541915,-10.4961,-1.5312,-0.0781,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-1.0312,0.6094,0.4141
2.270565,0.12432712175792672,0.6601641258599632,0.29630558351694025,-0.6789175906541425,-10.3438,-1.5781,0.0078,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-1.0312,0.6094,0.4141
2.297263,0.1262421265384999,0.6592012911388532,0.2965812883530627,-0.6793792185861619,-10.3789,-1.6836,0.0352,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-0.8477,0.4766,0.1797
2.299964,0.13166654750130538,0.6563560924468181,0.29651279853050777,-0.6811319699475551,-10.4219,-1.7812,0.1016,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-0.8477,0.4766,0.1797
2.311050,0.13546057352337912,0.6543485399077141,0.2964576917482348,-0.6823424787778264,-10.5859,-1.9258,0.4961,-0.2617,-0.291,0.1523,22.875,-20.625,-17.75,-0.8477,0.4766,0.1797
2.318929,0.13811483511989717,0.6529354829901814,0.2964156072172882,-0.6831817731542523,-10.5977,-1.9453,0.5156,-0.2617,-0.291,0.1523,21.0625,-20.6875,-19.9375,-0.8477,0.4766,0.1797
2.350993,0.14475254601702128,0.6494093984388104,0.29523572937968273,-0.6856748484074497,-10.7383,-1.7891,0.707,-0.2617,-0.291,0.1523,21.0625,-20.6875,-19.9375,-0.8477,0.4766,0.1797
2.357812,0.14939363567940647,0.6469162563396257,0.2943985161656044,-0.6873939282402071,-10.75,-1.668,0.7656,-0.2617,-0.291,0.1523,19.875,-23.1875,-19.9375,-1.1641,0.043,0.4375
2.361174,0.15263969450568518,0.6451589181674853,0.2938069484963254,-0.6885844690271838,-10.7852,-1.3125,0.9062,-0.2617,-0.291,0.1523,18.875,-21.4375,-20.8125,-1.1641,0.043,0.4375
2.372930,0.15987666238398146,0.6406268798999908,0.2906291777936357,-0.6925108913147551,-10.8203,-1.043,1.0117,-0.2617,-0.291,0.1523,18.875,-21.4375,-20.8125,-1.1641,0.043,0.4375
2.379107,0.16493347747508513,0.6374167432479959,0.28838758397907704,-0.6952189905647032,-10.7852,-0.9297,1.0977,-0.2617,-0.291,0.1523,18.875,-21.4375,-20.8125,-1.2109,0.4727,0.3555
2.384798,0.1684686233265817,0.6351512839149768,0.2868101429811171,-0.697094764991643,-10.7852,-0.9297,1.0977,-0.2617,-0.291,0.1523,18.875,-21.4375,-20.8125,-1.1719,0.5234,0.3164
2.417242,0.17094089750337013,0.6335565030832947,0.28570188210809316,-0.6983980251414681,-10.6953,-0.8984,1.2422,-0.2617,-0.291,0.1523,17.0625,-22.875,-20.8125,-1.1719,0.5234,0.3164
2.419711,0.17955019647686993,0.6268446749189145,0.2800361495157444,-0.7045617328774773,-10.6953,-0.8984,1.2422,-0.2617,-0.291,0.1523,16.375,-22.1875,-22.1875,-1.1719,0.5234,0.3164
2.422143,0.18709367781098232,0.620775968952624,0.27508726795430893,-0.709901505212889,-10.7031,-0.8828,1.4258,-0.2617,-0.291,0.1523,16.375,-22.1875,-22.1875,-1.1719,0.5234,0.3164
2.444657,0.1939599581677167,0.6150705019307389,0.2706851167808098,-0.7147009023609848,-10.9336,-0.6328,1.7227,-0.2617,-0.291,0.1523,16.375,-22.1875,-22.1875,-1.1719,0.5234,0.3164
2.461935,0.1987525160833549,0.611031771336757,0.2675837791460758,-0.7180087275970293,-10.9648,-0.3438,1.8164,-0.2617,-0.291,0.1523,13.4375,-22.25,-23.4375,-1.1719,0.5234,0.3164
